,date_of_fail,product_description,country_of_origin,producer_name,reason_for_fail,results,units,reference,food_category,test_applied,holding_order_number,category   ,result/s,category,test_applied/_reason_for_fail,results/units,results_/_units.1,result,results_in_mg_per_kg
1289,2022-03-16,Ocean raised barramundi fillets,Sri Lanka,Oceanpick (Pvt) Ltd,,,none,FSC 1.4.2,Surveillance,Not Applied,,,,,Fluoroquinolones - Enrofloxacin not permitted in this food,"0.002, 0.004, 0.003 mg/kg",,,
1290,2022-03-21,Dried salted anchovies,Indonesia,Cv Sentoasa Multi Jaya,,,none,HIS 12/2016,Risk,Not Applied,,,,,Histamine detected in excess of level permitted,730 mg/kg,,,
1291,2022-03-21,Sweet preserved dried plums,China,Guangdong Nongfushanzhuang Food Co Ltd,,,none,FSC 1.3.1,Surveillance,Not Applied,,,,,Composition – Additive; Sodium benzoate not permitted in this food.,,,,
1292,2022-03-22,Green sultana raisin,India,Khajanchi Exports (Mumbai India),,,none,FSC 1.4.2,Surveillance,Not Applied,,,,,Fruit & vegetable residue screen - Carbendazim not permitted in this food,3.48 mg/kg,,,
1293,2022-03-23,Sesame seed,India,Pramukh Food Exports Pvt Ltd,,,none,SES 05/2014,Risk,Not Applied,,,,,Salmonella detected,Detected /125g,,,
1294,2022-03-25,Ocean raised barramundi fillets,Sri Lanka,Oceanpick (Pvt) Ltd,,,none,FSC 1.4.2,Surveillance,Not Applied,,,,,Fluoroquinolones - Enrofloxacin not permitted in this food,"0.005, 0.006, 0.003, 0.004, 0.005 mg/kg",,,
1295,2022-03-25,Guanjillo chili ground,Mexico,Meximport Food Win S De Rl,,,none,SPI 06/2019,Risk,Not Applied,,,,,Salmonella detected,Detected /125g,,,
1296,2022-03-25,Coconut toffee,Sri Lanka,Derana Marketing Services Pvt Ltd,,,none,FSC 1.3.1,Surveillance,Not Applied,,,,,Composition – Additive; ‘Colour 127’ not permitted in this food.,,,,
1297,2022-03-29,Mango (fresh),Vietnam,Dt-pro Co. Ltd,,,none,FSC 1.4.2,Surveillance,Not Applied,,,,,Fruit & vegetable residue screen - Chlorpyrifos detected in excess of MRL,0.09 mg/kg,,,
1298,2022-03-29,Spinach,India,Vivek Agro Products,,,none,FSC 1.4.2,Surveillance,Not Applied,,,,,Fruit & vegetable residue screen - Chlorpyrifos detected in excess of MRL,0.06 mg/kg,,,
1299,2022-03-29,Spinach,India,Vivek Agro Products,,,none,FSC 1.4.2,Surveillance,Not Applied,,,,,Fruit & vegetable residue screen - Cyhalothrin not permitted in this food,0.03 mg/kg,,,
1300,2022-03-29,Spinach,India,Vivek Agro Products,,,none,FSC 1.4.2,Surveillance,Not Applied,,,,,Fruit & vegetable residue screen - Profenofos detected in excess of MRL,0.28 mg/kg,,,
1301,2022-03-29,Ocean raised barramundi fillets,Sri Lanka,Oceanpick (Pvt) Ltd,,,none,FSC 1.4.2,Surveillance,Not Applied,,,,,Fluoroquinolones - Enrofloxacin not permitted in this food,"0.003, 0.003 mg/kg",,,
1302,2022-03-30,Blanched peanuts,China,Ahcof Industrial Development Co Ltd (China),,,none,NUT 11/2018,Risk,Not Applied,,,,,Aflatoxin detected in excess of level permitted,0.03 mg/kg,,,
1303,2022-03-14,Frozen Red chilli,Vietnam,Thong Hong Co Ltd,Permethrin detected in excess of MRL,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.13,
1304,2022-03-15,Dried kelp,Republic of Korea,Nampo Mulsan,Iodine,,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,4200.0,
1305,2022-04-01,Maldive fish pieces,Sri Lanka,Rasoja Food Products,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,210.0,
1306,2022-04-01,Peanut bhujia,India,Aakash Global Foods (P) Ltd.,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.053,
1307,2022-04-04,Chilli powder,Thailand,Combine Thai Foods Co Ltd (Thailand),Salmonella,,g,SPI 06/2019,Risk,Not Applied,,,,,,,,125.0,
1308,2022-04-05,Dried figs,China,Anhui Xinong Pharma Co Ltd,Cypermethrin,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.21,
1309,2022-04-05,Red dates,China,Anhui Xinong Pharma Co Ltd,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.06,
1310,2022-04-05,Peanut bars,Nigeria,Feco Foods Industries Limited,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.15,
1311,2022-04-07,Fish ambulthiyal,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,530.0,
1312,2022-04-07,Dried longan,Thailand,Thai Top Choice Export Company Ltd (Thailand),Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.05,
1313,2022-04-12,Flavoured pan masala,India,Jay Siyaram Import Export Private Limited,Prohibited plant,,none,FSC 1.4.4,Risk,Composition,,,,,,,,,
1314,2022-04-13,Black sesame seeds,India,Kitchen Xpress Overseas Limited,Salmonella,,g,SES 05/2014,Risk,Not Applied,,,,,,,,125.0,
1315,2022-04-14,Seasoned seaweed,Japan,Kurakon Foods Corporation,Iodine,,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,4600.0,
1316,2022-04-14,Dried kelp,Republic of Korea,Chung Hae S & D Co Ltd,Iodine,,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,4300.0,
1317,2022-04-19,Roasted peanut snack,China,Dongguan City Shaerge Food Co Ltd,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.015,
1318,2022-04-21,Flavoured pan masala,India,Dharampal Premchand Ltd,Prohibited plant,,none,FSC 1.4.4,Risk,Composition,,,,,,,,,
1319,2022-04-21,Fagioli cannellini beans,Italy,Feger Di Gerardo Ferraioli Spa,the food is unfit for human consumption,,none,Imported Food Control Act Section 3(2),Surveillance,Visual,,,,,,,,,
1320,2022-04-22,"Pickled green pepper, pickled vine leaves",Lebanon,Jean Raad For Industries and Trade,additive sodium metabisulfite in excess of levels permitted,,none,FSC 1.3.1,Surveillance,Composition,,,,,,,,,
1321,2022-04-22,Barramundi fillets,Sri Lanka ,Oceanpick (Pvt) Ltd,Enrofloxacin,,mg/kg,FSC 1.4.2,Surveillance,Fluoroquinolones,,,,,,,,0.003,
1322,2022-04-22,Okra,India,Aerath Business Corporation,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.09,
1323,2022-04-22,Okra,India,Aerath Business Corporation,Dimethoate not permitted in this food,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.05,
1324,2022-04-26,Barberry ,Islamic Replubic of Iran,Green Bay,Permethrin detected in excess of MRL,,mg/kg,FSC 1.4.2,Risk,Fruit & vegetable residue screen,,,,,,,,0.2,
1325,2022-04-26,Peanut candy,Vietnam,A-One Vietnam Liability Limited Company,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.021,
1326,2022-04-28,Roasted supari with cashew,India,Popular Indian Exports & Imports,Prohibited plant,,none,FSC 1.4.4,Risk,Composition,,,,,,,,,
1327,2022-04-28,"Dry ginger, Ginger powder",Malaysia,Sabi Food Industries M Sdn Bhd (Malaysia),the food is unfit for human consumption,,none,Imported Food Control Act Section 3(2),Surveillance,Visual,,,,,,,,,
1328,2022-03-02,Frozen strawberries,China,Qingdao Pan Kai Import & Export Co Ltd,Procymidone detected in excess of MRL,,mg/kg,FSC 1.4.2,Risk,Fruit & vegetable residue screen,,,,,,,,0.03,
1329,2022-03-10,Cooked prawn,Bangladesh,Bd Seafood Limited,Nitrofurazone,,mg/kg,FSC 1.4.2,Risk,Nitrofurans,,,,,,,,0.004,
1330,2022-05-02,Infant formula,Germany,Milupa Gmbh,Cronobacter detected,,g,FSC 1.6.1,Surveillance,Not Applied,,,,,,,,100.0,
1331,2022-05-02,Maldive fish chips,Sri Lanka,Lakrasa Food (Pvt) Ltd.,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,240.0,
1332,2022-05-05,Roasted peanut,India,Psk Exports,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.023,
1333,2022-05-05,Maldive fish chips,Sri Lanka,Enrich Tea and Food Exports (Pvt) Ltd,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,310.0,
1334,2022-05-09,Fish pickle,India,Anchuthara Food Products (Alappuzha India),Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,345.0,
1335,2022-05-09,Frozen mackerel in konbu dashi,Japan,Yoshukogyo Co. Ltd.,Listeria,,g,FSH 07/2018,Risk,Not Applied,,,,,,,,125.0,
1336,2022-05-09,Spinach chopped,China,Yantai Aofeng Foodstuff Co. Ltd. ,Cyhalothrin,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.14,
1337,2022-05-11,Cooked vannamei prawns,Vietnam,Ming Phu - Hau Giang Seafood,Enrofloxacin,,mg/kg,FSC 1.4.2 ,Risk,Fluoroquinolones,,,,,,,,0.003,
1338,2022-05-19,Frozen okra,India,Aerath Business Corporation,Acephate,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.09,
1339,2022-05-20,Dried perilla leaves with plum,Japan,Mishima Shokuhin Co. Ltd.,Additive; ‘Monascus colour’ not permitted in this food,,none,FSC 1.3.1,Surveillance,Composition,,,,,,,,,
1340,2022-05-20,Candy,India,Arhaan International,Additive 'Colour 50 D' not permitted in this food,,none,FSC 1.3.1,Surveillance,Composition,,,,,,,,,
1341,2022-05-20,Boldo tea,Brazil,Prompt Comercio De Alimentos Ltda,Prohibited plant,,none,FSC 1.4.4,Risk,Composition,,,,,,,,,
1342,2022-05-23,Chilled Spanish mackerel,Indonesia,Pt Iambeu Mina Utama,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,523.0,
1343,2022-05-24,Giant taro -Ta'amu,Samoa,Samoa Agro Marketing,Prohibited plant,,none,FSC 1.4.4,Risk,Composition,,,,,,,,,
1344,2022-05-25,Dried longan,China,Hong Kong Sing Hung Food Co.,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.06,
1345,2022-05-26,Prepared mackerel,Japan,Yoshukogyo Co. Ltd.,Listeria,,g,FSH 07/2018,Risk,Not Applied,,,,,,,,125.0,
1346,2022-05-26,Frozen walking catfish,Thailand,Sethachon Co Ltd ,Ciprofloxacin not permitted in this food,,mg/kg,FSC 1.4.2,Surveillance,Fluoroquinolones,,,,,,,,0.048,
1347,2022-05-26,Frozen walking catfish,Thailand,Sethachon Co Ltd ,Enrofloxacin,,mg/kg,FSC 1.4.2,Surveillance,Not Applied,,,,,,,,0.078,
1348,2022-05-27,Okra,India,Aerath Business Corporation,Acephate,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.23,
1349,2022-05-27,Okra,India,Aerath Business Corporation,Monocrotophos not permitted in this food,,mg/kg,FSC 1.4.2,Surveillance,Not Applied,,,,,,,,0.05,
1350,2022-05-27,Squid dumpling,Republic of Korea,Narae Foods Co Ltd,Vitamin C,,none,FSC 1.3.2,Surveillance,Composition,,,,,,,,,
1351,2022-05-30,Taro ,Taiwan,Everstyle Foodstuff Industrial Co Ltd,"additive; E127, Erythrosine not permitted in this food",,none,FSC 1.3.1,Surveillance,Composition,,,,,,,,,
1352,2022-05-30,Peanut candy,Brazil,Prompt Comercio De Alimentos Ltda,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.031,
1353,2022-06-02,Fresh baby corn,Thailand,Exoriens Fresh Ltd.,Escherichia coli detected in excess of levels permitted,,mpn/g,FSC 1.6.1,Surveillance,Not Applied,,,,,,,,1100.0,
1354,2022-06-03,Cooked prawn meat,China,Zhangzhou Xinwanya Aquatic Product Ltd Company,Listeria,,g,CRU 11/2020,Risk,Not Applied,,,,,,,,125.0,
1355,2022-06-08,Magur fish,Myanmar,Shwe Myanmar Investment And Commercial Co Ltd,Leucomalachite green not permitted in this food,,mg/kg,FSC 1.4.2,Surveillance,Malachite green,,,,,,,,0.012,
1356,2022-06-08,Garlic shoots,China,Jiangsu Hugo Fresh International Trading Co,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.15,
1357,2022-06-08,Garlic shoots,China,Jiangsu Hugo Fresh International Trading Co,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Not Applied,,,,,,,,0.13,
1358,2022-06-08,Cassava stick chips,India,Kottackal Agro Foods,Hydrocyanic acid,,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,12.0,
1359,2022-06-10,Blanched peanuts,China,Ahcof Industrial Development Co Ltd (China),Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.08,
1360,2022-06-10,Black pepper & cumin wafer papads,India,Raj International,additive; sodium benzoate not permitted in this food.,,none,FSC 1.3.1,Surveillance,Composition,,,,,,,,,
1361,2022-06-10,Kashmiri chilli powder,India,Badshah Masala,Salmonella,,g,SPI 06/2019,Risk,Not Applied,,,,,,,,125.0,
1362,2022-06-14,Tandaljo (Indian spinach),India,Innovative Cuisine,Chlorpyrifos,,mg/kg,1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.03,
1363,2022-06-15,Pistachio kernels shelled,China,Guangdong Nan Xing Rainbow Nut Co Ltd,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.06,
1364,2022-06-16,Frozen barramundi fish fillet,Islamic Replubic of Iran,Ramooz Fish Farming Co,Enrofloxacin,,mg/kg,FSC 1.4.2,Surveillance,Fluoroquinolones,,,,,,,,0.012,
1365,2022-06-20,Dried dates,Jordan,Alkotof Aldanya Co,Carbendazim,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.31,
1366,2022-06-20,Strawberries,India,Iceage Cold Storage,Acephate,,mg/kg,FSC 1.4.2,Risk,Fruit & vegetable residue screen,,,,,,,,0.1,
1367,2022-06-20,Okra,India,Aerath Business Corporation,Methamidophos not permitted in this food,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.06,
1368,2022-06-20,Okra,India,Aerath Business Corporation,Monocrotophos not permitted in this food,,mg/kg,FSC 1.4.2,Surveillance,Not Applied,,,,,,,,0.06,
1369,2022-06-21,Corn and soya cereal,Nigeria,Nestle Nigeria,additive; Vitamin B5 pantothenate not permitted in this food,,none,FSC 1.3.2,Surveillance,Composition,,,,,,,,,
1370,2022-06-23,Pistachio,Islamic Replubic of Iran,Tolidi Barzargani Belok Tejarat Tav,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.58,
1371,2022-06-27,Kelp powder,Republic of Korea,"Tojongherb Co., Ltd",Iodine,,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,4960.0,
1372,2022-06-28,Frozen yellowfin tuna chunks,Indonesia,Pt Anugerah Mina Sejahtera,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,270.0,
1373,2022-06-30,Toor dal lentils,India,Batra Enterprises,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.02,
1374,2022-06-15,Dried king fish,Myanmar,City Majesty Co Ltd,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,240.0,
1375,2022-06-15,Dried black barberries,Islamic Replubic of Iran,Kambiz Co,Fenitrothion not permitted in this food,,mg/kg,FSC 1.4.2,Risk,Fruit & vegetable residue screen,,,,,,,,0.26,
1376,2022-06-23,Pistachio,Islamic Replubic of Iran,Green Bay,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.23,
1377,2022-06-30,Dried round headless fish,Thailand,Chonburi Lc Co Ltd (Establishment 3106),Enrofloxacin,,mg/kg,FSC 1.4.2,Surveillance,Fluoroquinolones,,,,,,,,0.009,
1378,2022-07-01,Kashmiri chilli powder,India,Aerath Business Corporation,Salmonella,,g,SPI 06/2019,Risk,Not Applied,,,,,,,,125.0,
1379,2022-07-04,Frozen blueberries,Germany,Quadrum Foods,Difenoconazole,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.06,
1380,2022-07-07,Betel nut,Nepal,Laligurans Traders Pvt Ltd,Prohibited plant,,none,FSC 1.4.4,Risk,Composition,,,,,,,,,
1381,2022-07-07,Fresh lychee ,Vietnam,"Dt-Pro Co.,Ltd",Permethrin detected in excess of MRL,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.11,
1382,2022-07-12,Energy drink,Thailand,T.C. Pharmaceutical Industries Co Ltd,Choline not permitted in this food,,none,FSC 1.3.2,Surveillance,Composition,,,,,,,,,
1383,2022-07-15,Peanut Butter,India,Alpino Health Foods Private Limited (Gujarat),Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.024,
1384,2022-07-15,Frozen mussel meat,Chile,Blue Shell S.A.,E. coli,,mpn/g,MOL 12/2021,Risk,Not Applied,,,,,,,,5.0,
1385,2022-07-25,Strawberries,China,Frotasty Foods Group Co Ltd,Paclobutrazol detected in excess of MRL,,mg/kg,FSC 1.4.2,Risk,Fruit & vegetable residue screen,,,,,,,,0.04,
1386,2022-07-25,Strawberries,China,Frotasty Foods Group Co Ltd,Procymidone detected in excess of MRL,,mg/kg,FSC 1.4.2,Risk,Not Applied,,,,,,,,0.04,
1387,2022-07-25,Black sesame soymilk,Thailand,Lactasoy Co Ltd,Pantothenic acid,,none,FSC 1.3.2,Surveillance,Composition,,,,,,,,,
1388,2022-07-26,Shrimps in sauce,China,Ningbo Glory International Corporation,Listeria,,g,CRU 11/2020,Risk,Not Applied,,,,,,,,125.0,
1389,2022-07-27,White & black anchovies,Philippines,Yang Yang Food Products,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,500.0,
1390,2022-07-28,Cassava chips,India,Kottackal Agro Foods,Hydrocyanic acid,,mg/kg,CAS 09/2016,Risk,Not Applied,,,,,,,,14.0,
1391,2022-04-29,Chilli & paprika powder,India,Aerath Business Corporation,Salmonella,,g,SPI 06/2019,Risk,Not Applied,,,,,,,,125.0,
1392,2022-08-01,Manathakkali Vathal (Solanum nigrum),India,Visnukumar (India),Prohibited plant,,none,FSC 1.4.4,Risk,Composition,,,,,,,,,
1393,2022-08-03,"Fresh onion flower, Fresh garlic sprout",China,Shandong Malle Produce Co Ltd,Iprodione detected in excess of MRL,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,4.84,
1394,2022-08-03,"Fresh onion flower, Fresh garlic sprout",China,Shandong Malle Produce Co Ltd,Iprodione detected in excess of MRL,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.6,
1395,2022-08-05,Frozen yellow catfish,Vietnam,Lifes Food Export Import Limited Company,Ciprofloxacin not permitted in this food,,mg/kg,FSC 1.4.2,Surveillance,Fluoroquinolones,,,,,,,,0.003,
1396,2022-08-05,Frozen yellow catfish,Vietnam,Lifes Food Export Import Limited Company,Enrofloxacin,,mg/kg,FSC 1.4.2,Surveillance,Not Applied,,,,,,,,0.009,
1397,2022-08-08,Passion fruit concentrate,Republic of Korea,Sungbo,Additive; red colour not permitted in this food,,none,FSC 1.3.1,Surveillance,Composition,,,,,,,,,
1398,2022-08-10,Flavoured Pan Masala,India,Brothers Grocery,Prohibited plant,,none,FSC 1.4.4,Risk,Composition,,,,,,,,,
1399,2022-08-11,Peanuts,Turkey,Omak Gida Mad. San. Ulus. Nak. Ith.Imr. Paz. Bes. Ve Tic. Ltd,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.023,
1400,2022-08-11,Peanuts,Turkey,Omak Gida Mad. San. Ulus. Nak. Ith.Imr. Paz. Bes. Ve Tic. Ltd,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.016,
1401,2022-08-12,Frozen chilli - no stem,Vietnam,Vasifood Trading Production Co Ltd,Hexaconazole not permitted in this food,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.47,
1402,2022-08-12,Roasted peanuts - various flavours,China,"Fujian Longyan Niucheshui Foodstuffs Co.,Ltd.",Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.063,
1403,2022-08-12,Freeze-dried strawberry,China,Laiyang Shenzhouyiwei Foodstuff Co Ltd,Procymidone detected in excess of MRL,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.3,
1404,2022-08-15,Roasted peanut,China,"Hubei Qiwei Food Co., Ltd.",Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.032,
1405,2022-08-15,Frozen oysters,Taiwan,"Hifresh Intl., Co., Ltd",Escherichia coli detected in excess of levels permitted,,,MOL 12/2021,Risk,Not Applied,,,,,,,,2.3,
1406,2022-08-16,Frozen mussel meat,Chile,Blue Shell S.A.,Escherichia coli detected in excess of levels permitted,,,MOL 12/2021,Risk,Not Applied,,,,,,,,2.0,
1407,2022-08-22,Dried kelp,Republic of Korea,Namdo General Food,Iodine,,mg/kg,BSW 12/2021,Risk,Not Applied,,,,,,,,3600.0,
1408,2022-08-22,Peanuts,Argentina,Beatrice Comercio Importacao E Exportacao De Amendom Ltda,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.042,
1409,2022-08-25,Chilli,Vietnam,Cong Ty Tnhh Mtv Che Bien Nong San Bach Mai,Salmonella,,g,SPI 06/2019,Risk,Not Applied,,,,,,,,125.0,
1410,2022-08-26,Beef stock pot,Italy,Menz & Gasser Spa,BSE government certification from country of origin not provided,,none,BEF 11/2018,Risk,BSE government certification from country of origin not provided,,,,,,,,,
1411,2022-08-29,Barramundi fillets,Islamic Replubic of Iran,Ramooz Fish Farming Co,Enrofloxacin,,mg/kg,FSC 1.4.2,Surveillance,Fluoroquinolones,,,,,,,,0.003,
1412,2022-08-30,Frozen green beans,India,Benz Exports,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.02,
1413,2022-08-30,White pepper powder,Malaysia,Joo Lee Import And Export Co Sdn Bhd,Salmonella,,g,SPI 06/2019,Risk,Not Applied,,,,,,,,125.0,
1414,2022-08-31,Palak spinach,India,Innovative Cuisine,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,0.4,
1415,2022-08-23,Nougat 38% pistachio,Islamic Replubic of Iran,Gaz Kermani,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.9,
1416,2022-09-05,Dried bracken (Pteridium aquilinum),Republic of Korea,"Seolak Green Food Co.,Ltd",Prohibited plant,,none,FSC 1.4.4,Risk,Composition,,,,,,,,,
1417,2022-09-06,Betel nut,Myanmar,"Global Gifts Trading Co., Ltd",Prohibited plant,,none,FSC 1.4.4,Risk,Composition,,,,,,,,,
1418,2022-09-07,Anchovy pieces in sunflower oil,Italy,Mondofish Di Calogero Ciaccio,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,550.0,
1419,2022-09-08,Charcoal grilled eel,China,Fuqing Qixiang Food Co Ltd,Listeria,,g,FSH 07/2018,Risk,Not Applied,,,,,,,,125.0,
1420,2022-09-09,Frozen crab meat,Vietnam,Cong Ty Tnhh Thuy San Duc Thanh,Nitrofurazone,,mg/kg,FSC 1.4.2,Surveillance,Nitrofurans,,,,,,,,0.08,
1421,2022-09-09,Frozen blood clams,Indonesia,Koperasi Serba Usaha Adi Jaya Lestari,Escherichia coli detected in excess of levels permitted,,mpn/g,MOL 12/2021,Risk,Not Applied,,,,,,,,2.0,
1422,2022-09-12,Anchovies,Spain,Justo Lopez Valcarcel,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,818.0,
1423,2022-09-13,Pistachio kernels,Islamic Replubic of Iran,Hegr Gostar Ferozan Aras,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.109,
1424,2022-09-13,Peanut balls,India,Nilamel Exports,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.75,
1425,2022-09-14,Frozen cooked clam,Vietnam,Da Giau Production Co,Escherichia coli detected in excess of levels permitted,,mpn/g,MOL 12/2021,Risk,Not Applied,,,,,,,,2.0,
1426,2022-09-14,Frozen cooked blood cockle,Vietnam,Da Giau Production Co,Escherichia coli detected in excess of levels permitted,,mpn/g,MOL 12/2021,Risk,Not Applied,,,,,,,,2.0,
1427,2022-09-14,Frozen razor clam,Vietnam,Da Giau Production Co,Escherichia coli detected in excess of levels permitted,,mpn/g,MOL 12/2021,Risk,Not Applied,,,,,,,,26.0,
1428,2022-09-14,Instant coffee sachets,Philippines,Universal Robina Corp,Additive; Colour (Riboflavin E101) not permitted in this food.,,none,FSC 1.3.1,Surveillance,Composition,,,,,,,,,
1429,2022-09-14,Frozen raw prawn cutlets peeled deveined tail on,Vietnam,Viet Shrimp Corporation,Enrofloxacin,,mg/kg,FSC 1.4.2,Surveillance,Fluoroquinolones,,,,,,,,0.012,
1430,2022-09-14,Seaweed,China,Jinjinag City Zhenzhiwei Food Industrial Co Ltd,Iodine,,mg/kg,BSW 12/2016,Risk,Not Applied,,,,,,,,1100.0,
1431,2022-09-15,Fruit flavoured jelly babies,South Africa,Mister Sweet Pty Ltd,Additive; erythrosine (E127) not permitted in this food,,none,FSC 1.3.1,Surveillance,Composition,,,,,,,,,
1432,2022-09-15,Macaroni pasta,India,Ss Enterprises,Vitamin B1,,none,FSC 1.3.2,Surveillance,Composition,,,,,,,,,
1433,2022-09-16,Dried short mackerel ,Philippines,Hls Aqua Products,Histamine,,mg/kg,HIS 12/2016,Risk,Not Applied,,,,,,,,240.0,
1434,2022-09-16,Peanut butter,Philippines,Newborn Food Products (Philippines),Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.016,
1435,2022-09-16,Spiced peanuts - various flavours,India,Auslin Foods Pvt Ltd,Aflatoxin,,none,NUT 11/2018,Risk,Not Applied,,,,,,,,0.17,
1436,2022-09-16,Spiced peanuts - various flavours,India,Auslin Foods Pvt Ltd,Aflatoxin,,mg/kg,NUT 11/2018,Risk,Not Applied,,,,,,,,0.38,
1437,2022-09-16,Fresh onion flower,China ,Shandong Jiamei Food Co Ltd,Iprodine detected in excess of MRL,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,4.76,
1438,2022-09-16,Garlic sprouts,China ,Shandong Jiamei Food Co Ltd,Iprodine detected in excess of MRL,,mg/kg,FSC 1.4.2,Surveillance,Not Applied,,,,,,,,0.94,
1439,2022-09-21,Chilli powder,India,Vasudev World Export Pvt Ltd,Salmonella,,g,SPI 16/2019,Risk,Not Applied,,,,,,,,125.0,
1440,2022-09-26,Chopped spinach ,India,Innovative Cuisine,Chlorpyrifos,,mg/kg,FSC 1.4.2,Surveillance,Fruit & vegetable residue screen,,,,,,,,1.46,
